ACARA_ID,School_Name,Suburb,ICSEA,,,,
43762,Abbotsleigh,Wahroonga,1216,850,1,,850
43453,McAuley Catholic Primary School,Rose Bay,1212,875,0,,
43979,John Colet School,Belrose,1211,900,0,,
43442,St Francis of Assisi Regional Catholic Primary School,Paddington,1197,925,2,,
44022,Mosman Church of England Preparatory School,Mosman,1197,950,1,,
43245,Holy Family Catholic Primary School,Lindfield,1195,975,0,,
43863,Roseville College,Roseville,1195,1000,10,,
43251,St Philip Neri Catholic Primary School,Northbridge,1193,1025,6,,
41266,Beaumont Road Public School,Killara,1191,1050,13,,
41289,St Ives North Public School,St Ives,1191,1075,32,,
40921,Reddam House,Woollahra,1189,1100,53,,
41250,Pymble Public School,Pymble,1187,1125,65,,
43657,Loreto Kirribilli,Kirribilli,1187,1150,73,,
43261,Our Lady of Perpetual Succour Catholic Primary School,West Pymble,1185,1175,25,,
43253,Sacred Heart Catholic Primary School,Pymble,1184,1200,3,,
41203,Cammeray Public School,Cammeray,1183,1225,0,,
43957,Emanuel School,Randwick,1183,1250,0,,
41198,Beecroft Public School,Beecroft,1182,,,,
41238,Roseville Public School,Roseville,1182,,,,
43846,Pymble Ladies' College,Pymble,1182,,,,
41195,Artarmon Public School,Artarmon,1177,,,,
41248,Balgowlah Heights Public School,Balgowlah,1177,,,,
41020,Glenmore Road Public School,Paddington,1177,,,,
41146,Woollahra Public School,Woollahra,1177,,,,
43939,Ravenswood School for Girls,Gordon,1177,,,,
43896,Northcross Christian School,Ryde,1176,,,,
41222,Lindfield Public School,Lindfield,1175,,,,
41223,Lindfield East Public School,East Lindfield,1175,,,,
41255,Turramurra Public School,Turramurra,1174,,,,
43437,Sacred Heart Catholic Primary School,Mosman,1174,,,,
43413,Villa Maria Catholic Primary School,Hunters Hill,1174,,,,
41232,Northbridge Public School,Northbridge,1173,,,,
43262,St Thomas' Catholic Primary School,Willoughby,1173,,,,
41229,Neutral Bay Public School,Neutral Bay,1172,,,,
43259,Prouille Catholic Primary School,Wahroonga,1172,,,,
41216,Greenwich Public School,Greenwich,1171,,,,
40367,Knox Grammar School,Wahroonga,1170,,,,
41245,Warrawee Public School,Turramurra,1170,,,,
41130,Balmain Public School,Balmain,1169,,,,
41307,Beauty Point Public School,Mosman,1168,,,,
41270,Gordon East Public School,Gordon,1168,,,,
43868,Wenona School,North Sydney,1168,,,,
43982,Inner Sydney Montessori School,Balmain,1168,,,,
43841,St Andrew's Cathedral School,Sydney,1167,,,,
43934,International Grammar School,Ultimo,1167,,,,
43995,St Catherine's School,Waverley,1167,,,,
41262,Castle Cove Public School,Castle Cove,1165,,,,
43361,St Brendan's Catholic Primary School,Annandale,1165,,,,
43375,Holy Cross Catholic Primary School,Woollahra,1164,,,,
43239,Our Lady Help of Christians Catholic Primary School,Epping,1164,,,,
41260,Lane Cove West Public School,Lane Cove,1163,,,,
43232,St Cecilia's Catholic Primary School,Balgowlah,1163,,,,
41000,Bronte Public School,Bronte,1162,,,,
41219,Hunters Hill Public School,Hunters Hill,1162,,,,
41221,Lane Cove Public School,Lane Cove,1160,,,,
41264,Gordon West Public School,Pymble,1160,,,,
43872,Claremont College,Randwick,1160,,,,
52704,Lindfield Learning Village,Lindfield,1160,,,,
41096,Randwick Public School,Randwick,1159,,,,
41271,Mowbray Public School,Lane Cove,1159,,,,
43686,Kincoppal - Rose Bay School of the Sacred Heart,Rose Bay,1159,,,,
41253,Wahroonga Public School,Wahroonga,1158,,,,
41293,Hornsby North Public School,Hornsby,1158,,,,
43438,St Columba's Catholic Primary School,Leichhardt North,1158,,,,
41244,Waitara Public School,Wahroonga,1157,,,,
41279,Epping North Public School,North Epping,1157,,,,
43242,St John the Baptist Catholic Primary School,Freshwater,1157,,,,
43996,St Luke's Grammar School,Dee Why,1157,,,,
41261,Killara Public School,Killara,1156,,,,
41291,St Ives Public School,St Ives,1156,,,,
50500,Pittwater House Schools,Collaroy,1156,,,,
40993,Bellevue Hill Public School,Bellevue Hill,1155,,,,
41208,Epping Public School,Epping,1155,,,,
41243,Turramurra North Public School,North Turramurra,1155,,,,
41274,Epping Heights Public School,Epping,1155,,,,
43448,St Margaret Mary's Catholic Primary School,Randwick North,1155,,,,
41137,Darlinghurst Public School,Potts Point,1154,,,,
41226,Middle Harbour Public School,Mosman,1154,,,,
41316,Chatswood Public School,Chatswood,1154,,,,
43246,St Mary's Catholic Primary School,Manly,1154,,,,
44026,Coogee Boys' Preparatory School,Randwick,1154,,,,
41144,Rozelle Public School,Rozelle,1153,,,,
41298,Murray Farm Public School,Carlingford,1153,,,,
43389,St Brigid's Catholic Primary School,Coogee,1153,,,,
43856,Northside Montessori School,Pymble,1153,,,,
41018,Forest Lodge Public School,Forest Lodge,1152,,,,
43415,Our Lady of the Rosary Catholic Primary School,Kensington,1152,,,,
43700,Covenant Christian School,Belrose,1152,,,,
41007,Clovelly Public School,Waverley,1151,,,,
41071,Dobroyd Point Public School,Haberfield,1151,,,,
41301,Cherrybrook Public School,Cherrybrook,1151,,,,
41296,Killarney Heights Public School,Killarney Heights,1151,,,,
41303,John Purchase Public School,Cherrybrook,1151,,,,
41318,Mosman Public School,Mosman,1151,,,,
43705,Mount Sinai College,Maroubra,1151,,,,
41107,Petersham Public School,Petersham,1150,,,,
41209,Epping West Public School,Epping,1150,,,,
41246,Willoughby Public School,Willoughby,1150,,,,
43235,Our Lady of Dolours Catholic Primary School,Chatswood,1150,,,,
40989,Annandale North Public School,Annandale,1148,,,,
41013,Double Bay Public School,Double Bay,1148,,,,
41197,Seaforth Public School,Seaforth,1148,,,,
41234,North Sydney Public School,Waverton,1148,,,,
41132,Bondi Public School,Bondi,1147,,,,
43260,Our Lady of the Rosary Catholic Primary School,Waitara,1147,,,,
41224,Manly West Public School,Balgowlah,1146,,,,
43254,Corpus Christi Catholic Primary School,St Ives,1146,,,,
41265,Manly Village Public School,Manly,1144,,,,
41269,Balgowlah North Public School,North Balgowlah,1143,,,,
41040,Newtown North Public School,Newtown,1142,,,,
43234,St Gerard's Catholic Primary School,Carlingford,1142,,,,
43859,Masada College,St Ives,1142,,,,
41048,Rose Bay Public School,Rose Bay,1141,,,,
41200,Boronia Park Public School,Hunters Hill,1141,,,,
41256,Denistone East Public School,Eastwood,1141,,,,
43459,St Michael's Catholic Primary School,Stanmore,1141,,,,
52051,Anzac Park Public School,Cammeray,1141,,,,
41235,Pennant Hills Public School,Pennant Hills,1140,,,,
41277,Kent Road Public School,Eastwood,1140,,,,
41288,West Pymble Public School,West Pymble,1140,,,,
43252,St Agatha's Catholic Primary School,Pennant Hills,1140,,,,
43920,Kambala,Rose Bay,1140,,,,
41275,Eastwood Heights Public School,Eastwood,1139,,,,
44007,Wahroonga Adventist School,Wahroonga,1139,,,,
41143,Paddington Public School,Paddington,1138,,,,
41231,Normanhurst Public School,Normanhurst,1138,,,,
40995,Birchgrove Public School,Balmain,1137,,,,
41093,Erskineville Public School,Erskineville,1137,,,,
43386,St Anthony's Catholic Primary School,Clovelly,1137,,,,
43420,St Fiacre's Catholic Primary School,Leichhardt,1137,,,,
41041,Nicholson Street Public School,Balmain East,1136,,,,
41080,Waverley Public School,Waverley,1136,,,,
