School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Diversity
Abbotsford Public School,Abbotsford,Government,567,286,281,45
Abbotsleigh,Jindera,Independent,182,101,81,11
Aberdeen Public School,Rockdale,Independent,24,10,14,70
Abermain Public School,Aberdeen,Government,194,88,106,6
Adamstown Public School,Abermain,Government,279,141,138,39
Aetaomah School,Adaminaby,Government,19,7,12,2
Al Amanah College,Adamstown,Government,290,140,150,2
Al Hikma College,Bondi Junction,Independent,1449,706,743,0
Al Noori Muslim School,Adelong,Government,65,37,28,30
Al Sadiq College,Abermain,Catholic,148,75,73,13
Al Zahra College,Afterlee,Government,10,6,4,7
Albert Park Public School,Como,Catholic,443,222,221,0
Albion Park Public School,Wilcannia,Catholic,27,13,14,13
Albion Park Rail Public School,Lindfield,Independent,87,45,42,0
Albury North Public School,East Lismore,Government,97,36,61,12
Albury Public School,Bonville,Independent,886,458,428,11
Aldavilla Public School,Cherrybrook,Independent,616,560,56,51
Al-Faisal College,Port Macquarie,Independent,370,179,191,5
All Hallows Catholic Primary School,Yarravel,Government,305,154,151,12
All Saints Primary School,Bowraville,Independent,57,25,32,6
Alma Public School,Newtown,Government,99,45,54,32
"Amity College, Prestons",Petersham,Government,61,22,39,8
Anna Bay Public School,Broken Hill,Government,265,121,144,2
Ariah Park Central School,Arncliffe,Government,148,77,71,18
Arncliffe Public School,Penshurst,Government,79,38,41,10
Artarmon Public School,New Lambton Heights,Government,77,36,41,6
Athelstane Public School,Narrandera,Government,67,27,40,3
Attunga Public School,Arncliffe,Government,410,179,231,59
Aurora Southern Highlands Steiner School,Artarmon,Government,1248,583,665,52
Australian Islamic College of Sydney,Arncliffe,Government,346,164,182,0
Balgownie Public School,Avalon,Independent,59,26,33,42
Ballina Public School,Oak Flats,Government,266,135,131,19
Balranald Central School,Blakehurst,Government,278,147,131,31
Bangor Public School,North Balgowlah,Government,568,265,303,16
Bardwell Park Infants School,Botany,Government,312,140,172,25
Beechwood Public School,Auburn,Independent,118,65,53,2
Beelbangera Public School,Mosman,Government,304,156,148,6
Bellbrook Public School,North Sydney,Independent,19,8,11,42
Bellfield College,Narraweena,Independent,8,3,5,35
Belltrees Public School,Adamstown,Government,499,241,258,6
Belmont Christian College,North Balgowlah,Independent,44,18,26,99
Belrose Public School,Woollahra,Independent,1223,555,668,22
Ben Lomond Public School,Clarenza,Independent,324,152,172,96
Berowra Christian School,Blakehurst,Government,258,129,129,32
Berridale Public School,Bondi Beach,Government,618,276,342,98
Berrima Public School,Botany,Government,289,137,152,32
Bert Oldfield Public School,Brighton-Le-Sands,Government,654,326,328,95
Bethany Catholic Primary School,Colyton,Government,594,279,315,63
Bethel Christian School,Bronte,Government,388,182,206,9
Beverly Hills Public School,Newtown,Government,344,166,178,59
Biddabah Public School,Yass,Government,276,128,148,27
Bilpin Public School,Earlwood,Government,592,272,320,8
Binnaway Central School,Como,Government,93,39,54,18
Birrong Public School,Coogee,Government,615,308,307,0
Bishop Tyrrell Anglican College,Cronulla,Government,438,206,232,13
Black Mountain Public School,Chippendale,Government,206,98,108,17
Blackalls Park Public School,Double Bay,Government,341,189,152,2
Blackheath Public School,Drummoyne,Government,620,326,294,1
Blacktown North Public School,Earlwood,Government,656,311,345,12
Blandford Public School,Paddington,Government,364,192,172,0
Bletchington Public School,Bidwill,Government,363,177,186,28
Blighty Public School,Bigga,Government,8,2,6,3
Blue Hills College,Bilambil,Government,335,163,172,71
Blue Mountains Steiner School,Bilgola Plateau,Government,532,274,258,5
Bobin Public School,Bilpin,Government,61,31,30,0
Bodalla Public School,Binalong,Government,36,19,17,0
Bogan Gate Public School,Binda,Government,8,3,5,83
Boggabilla Central School,Bingara,Government,170,98,72,42
Bolwarra Public School,Binnaway,Government,53,28,25,70
Bombala Public School,Binya,Government,9,5,4,74
Bonnells Bay Public School,Birrong,Government,569,285,284,3
Bonshaw Public School,Black Hill,Government,94,52,42,7
Bonville Public School,Mortdale,Government,391,193,198,11
Boolaroo Public School,Black Mountain,Government,22,10,12,48
Booligal Public School,Newtown,Government,258,126,132,90
Boomi Public School,Black Springs,Government,9,2,7,0
Booral Public School,Blackalls Park,Government,213,96,117,98
Boorowa Central School,Oatley,Government,530,267,263,98
Border Christian College,Blackett,Government,227,111,116,98
Borenore Public School,Blackheath,Government,337,167,170,10
Boronia Park Public School,Peakhurst,Government,623,304,319,61
Bossley Park Public School,Blacksmiths,Government,94,50,44,55
Botany Public School,Penshurst,Government,413,213,200,11
Bourke Public School,Blacktown,Government,281,126,155,10
Bourke-Walgett School of Distance Education,Blacktown,Government,1092,506,586,0
Bowning Public School,Blacktown,Government,436,213,223,24
Bowraville Central School,Blackville,Government,10,5,5,10
Braidwood Central School,Blairmount,Government,523,239,284,18
Breadalbane Public School,Blakebrook,Government,66,33,33,9
Briar Road Public School,Blandford,Government,25,13,12,75
Bringelly Public School,Blaxland East,Government,427,212,215,17
Brisbania Public School,Earlwood,Government,215,100,115,11
Broadwater Public School,Blaxland,Government,130,57,73,10
Broke Public School,Blayney,Government,308,141,167,18
Broken Hill Public School,Orange,Government,663,340,323,0
Bronte Public School,Bligh Park,Government,328,130,198,7
Brooke Avenue Public School,Oyster Bay,Government,425,198,227,34
Brooklyn Public School,Blighty,Government,37,18,19,4
Brookvale Public School,Cronulla,Government,301,135,166,9
Broughton Anglican College,Blue Haven,Government,584,266,318,18
Brungle Public School,Woronora,Government,96,45,51,35
Budgewoi Public School,Boambee,Government,429,211,218,96
Bullarah Public School,Bobin,Government,17,12,5,31
Bulli Public School,Oatley,Government,589,278,311,94
Bundanoon Public School,Bobs Farm,Government,37,19,18,96
Bundeena Public School,Bodalla,Government,71,37,34,96
Bungwahl Public School,Bogan Gate,Government,5,0,5,7
Bunnaloo Public School,Bogangar,Government,301,148,153,0
Burnside Public School,Boggabilla,Government,63,32,31,70
Burrabadine Christian Community School,Boggabri,Government,83,39,44,5
Burraneer Bay Public School,Como,Government,366,186,180,10
Burrawang Public School,Bolwarra,Government,432,210,222,2
Burren Junction Public School,Botany,Government,313,154,159,17
Burringbar Public School,Bomaderry,Government,345,169,176,11
Burwood Public School,Bombala,Government,136,69,67,55
Busby West Public School,Bonalbo,Government,127,71,56,2
Byron Community Primary School,Bondi,Government,596,294,302,1
Cabramatta Public School,Adjungbilly,Government,14,4,10,1
Cabramurra Public School,Bonnells Bay,Government,436,214,222,14
Caddies Creek Public School,Cronulla,Government,508,238,270,2
Calare Public School,Bonnet Bay,Government,202,97,105,46
Callala Public School,Bonnyrigg Heights,Government,1118,550,568,87
