ACARA_ID,School_Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE_Score,School_Sector,Campus_Type,Governing_Body,Year_Range,ICSEA,Bottom_SEA_Quarter_(%),Lower_Middle_SEA_Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Full_Time_Equivalent_Enrolments,Indigenous_Enrolments_(%),Language_Background_Other_Than_English_(%),2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,94.3,95.9,95.7,95.3,94.6,95.2,94.1,94.9,94.3,94.3,89
40275,Abbotsleigh,Jindera,2642,Combined,Inner Regional,-35.9029,146.827,95,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1077,11,20,35,34,19,14.1,10,5.4,182,101,81,182,0,11,,,,,,,,,,,
40276,Aberdeen Public School,Rockdale,2216,Primary,Major Cities,-33.951,151.15,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1048,21,23,36,21,3,3,1,0.4,24,10,14,24,0,70,93.6,94.2,95.2,95.3,95,92.7,91.9,91.3,89.5,88.4,83.9
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,93.5,93,92,92.8,91.4,91.5,92.8,91,90.3,89.2,85.2
40277,Adaminaby Public School,Wagga Wagga,2650,Combined,Inner Regional,-35.129,147.348,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1092,10,13,35,42,17,12.5,3,1.6,136,64,72,136,0,39,95.4,96.4,97.2,96.2,90.9,85.5,95.6,92.2,94,90.7,75.7
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,94.8,95.4,94.7,95.8,95.1,93.2,93,92.6,92.7,93.3,87.5
40366,Adelong Public School,Terrey Hills,2084,Primary,Major Cities,-33.6866,151.217,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1135,1,8,28,62,10,8.3,5,2.9,90,45,45,90,0,2,93.5,94.3,93.8,93.4,93.3,92.7,91.3,92.1,89.7,90,88.3
42715,Aetaomah School,Adaminaby,2629,Primary,Outer Regional,-35.9933,148.777,,Government,School Single Entity,Department of Education NSW,K-6,980,32,41,24,3,1,1.3,2,1,19,7,12,19,5,0,,,,,,,,,,,
40367,Afterlee Public School,Wahroonga,2076,Combined,Major Cities,-33.7231,151.119,100,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1170,1,4,17,78,303,285.3,366,219.6,3030,77,2953,3030,0,30,87.5,89.8,92.4,93.4,93.9,97,93,94.2,95.1,90.6,
41854,Al Amanah College,Adamstown,2289,Primary,Major Cities,-32.9322,151.731,84,Government,School Single Entity,Department of Education NSW,K-6,1040,18,24,28,30,14,15.3,5,2.5,290,140,150,290,11,13,,,,,,,,,,,
