School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Abbotsford Public School,Abbotsford,Government,567,286,281
Knox Grammar School,Wahroonga,Independent,3030,77,2953
Moriah College,Bondi Junction,Independent,1449,706,743
Tangara School for Girls,Cherrybrook,Independent,616,560,56
Alexandria Park Community School,Alexandria,Government,882,375,507
All Hallows Catholic Primary School,Five Dock,Catholic,457,261,196
Allambie Heights Public School,Allambie Heights,Government,555,247,308
Annandale North Public School,Annandale,Government,402,206,196
Annandale Public School,Annandale,Government,402,180,222
Artarmon Public School,Artarmon,Government,1248,583,665
Asquith Public School,Asquith,Government,452,219,233
Avalon Public School,Avalon Beach,Government,914,461,453
Balgowlah Heights Public School,Balgowlah,Government,711,363,348
Balgowlah North Public School,North Balgowlah,Government,568,265,303
Balmain Public School,Balmain,Government,379,189,190
Banksmeadow Public School,Botany,Government,312,140,172
Beacon Hill Public School,Beacon Hill,Government,533,255,278
Beaumont Road Public School,Killara,Government,408,199,209
Beauty Point Public School,Mosman,Government,304,156,148
Beecroft Public School,Beecroft,Government,890,469,421
Reddam House,Woollahra,Independent,1223,555,668
Bellevue Hill Public School,Bellevue Hill,Government,566,284,282
Belrose Public School,Belrose,Government,267,133,134
Birchgrove Public School,Balmain,Government,371,191,180
Bondi Beach Public School,Bondi Beach,Government,618,276,342
Botany Public School,Botany,Government,289,137,152
Bronte Public School,Bronte,Government,388,182,206
Camdenville Public School,Newtown,Government,344,166,178
Clovelly Public School,Waverley,Government,599,313,286
Berowra Public School,Berowra,Government,419,186,233
Coogee Public School,Coogee,Government,615,308,307
Darlington Public School,Chippendale,Government,206,98,108
Double Bay Public School,Double Bay,Government,341,189,152
Drummoyne Public School,Drummoyne,Government,620,326,294
Five Dock Public School,Five Dock,Government,392,196,196
Forest Lodge Public School,Forest Lodge,Government,340,160,180
Fort Street Public School,Sydney,Government,215,97,118
Glenmore Road Public School,Paddington,Government,364,192,172
Haberfield Public School,Haberfield,Government,670,338,332
Kegworth Public School,Leichhardt,Government,343,166,177
Bilgola Plateau Public School,Bilgola Plateau,Government,532,274,258
Kensington Public School,Kensington,Government,453,225,228
Malabar Public School,Malabar,Government,298,152,146
Maroubra Bay Public School,Maroubra,Government,371,171,200
Mascot Public School,Mascot,Government,367,170,197
Matraville Public School,Matraville,Government,229,100,129
Newtown North Public School,Newtown,Government,258,126,132
Nicholson Street Public School,Balmain East,Government,168,79,89
Orange Grove Public School,Leichhardt,Government,496,243,253
Rainbow Street Public School,Randwick,Government,390,180,210
Rose Bay Public School,Rose Bay,Government,587,300,287
St Peters Public School,St Peters,Government,124,57,67
Ultimo Public School,Ultimo,Government,314,164,150
Vaucluse Public School,Vaucluse,Government,363,172,191
South Coogee Public School,South Coogee,Government,548,290,258
Dobroyd Point Public School,Haberfield,Government,227,110,117
Pagewood Public School,Botany,Government,313,154,159
Crown Street Public School,Surry Hills,Government,292,146,146
Tempe Public School,Tempe,Government,322,166,156
Bondi Public School,Bondi,Government,596,294,302
Waverley Public School,Waverley,Government,330,158,172
Matraville Soldiers Settlement Public School,Matraville,Government,242,128,114
Erskineville Public School,Erskineville,Government,401,200,201
Boronia Park Public School,Hunters Hill,Government,541,275,266
Randwick Public School,Randwick,Government,958,484,474
Bourke Street Public School,Surry Hills,Government,436,209,227
Chifley Public School,Malabar,Government,166,86,80
Lewisham Public School,Lewisham,Government,217,125,92
Petersham Public School,Petersham,Government,267,117,150
Eastlakes Public School,Eastlakes,Government,197,96,101
Sydney Distance Education Primary School,Surry Hills,Government,177,80,97
Brooklyn Public School,Brooklyn,Government,75,35,40
Brookvale Public School,Brookvale,Government,341,176,165
Daceyville Public School,Daceyville,Government,269,140,129
Darlinghurst Public School,Potts Point,Government,322,167,155
Gardeners Road Public School,Rosebery,Government,358,184,174
Glebe Public School,Glebe,Government,309,150,159
Leichhardt Public School,Leichhardt,Government,736,371,365
Maroubra Junction Public School,Maroubra,Government,619,295,324
Newtown Public School,Newtown,Government,417,205,212
Paddington Public School,Paddington,Government,291,146,145
Rozelle Public School,Rozelle,Government,632,307,325
Stanmore Public School,Stanmore,Government,636,313,323
Woollahra Public School,Woollahra,Government,767,363,404
Cammeray Public School,Cammeray,Government,888,454,434
Carlingford Public School,Carlingford,Government,784,383,401
Carlingford West Public School,Carlingford,Government,1528,730,798
Seaforth Public School,Seaforth,Government,520,248,272
Cowan Public School,Cowan,Government,43,18,25
Dee Why Public School,Dee Why,Government,490,221,269
Epping Public School,Epping,Government,631,319,312
Epping West Public School,Epping,Government,1290,621,669
Castle Cove Public School,Castle Cove,Government,442,218,224
Ermington Public School,West Ryde,Government,402,181,221
Frenchs Forest Public School,Frenchs Forest,Government,261,133,128
Gladesville Public School,Gladesville,Government,537,258,279
Greenwich Public School,Greenwich,Government,487,248,239
Harbord Public School,Freshwater,Government,1109,550,559
Hunters Hill Public School,Hunters Hill,Government,369,175,194
Lane Cove Public School,Lane Cove,Government,867,437,430
Lindfield Public School,Lindfield,Government,822,400,422
Lindfield East Public School,East Lindfield,Government,674,310,364
Manly West Public School,Balgowlah,Government,871,429,442
Middle Harbour Public School,Mosman,Government,609,308,301
Mona Vale Public School,Mona Vale,Government,1131,517,614
Narrabeen Lakes Public School,Narrabeen,Government,418,191,227
Neutral Bay Public School,Neutral Bay,Government,959,471,488
