Type,Row,Column
Combined,1,-9
Combined,1,-8
Combined,1,-7
Combined,1,-6
Combined,1,-5
Combined,1,-4
Combined,1,-3
Combined,1,-2
Combined,1,-1
Combined,1,0
Combined,2,-9
Primary,2,-8
Primary,2,-7
Primary,2,-6
Primary,2,-5
Primary,2,-4
Primary,2,-3
Primary,2,-2
Primary,2,-1
Primary,2,0
Primary,3,-9
Primary,3,-8
Primary,3,-7
Primary,3,-6
Primary,3,-5
Primary,3,-4
Primary,3,-3
Primary,3,-2
Primary,3,-1
Primary,3,0
Primary,4,-9
Primary,4,-8
Primary,4,-7
Primary,4,-6
Primary,4,-5
Primary,4,-4
Primary,4,-3
Primary,4,-2
Primary,4,-1
Primary,4,0
Primary,5,-9
Primary,5,-8
Primary,5,-7
Primary,5,-6
Primary,5,-5
Primary,5,-4
Primary,5,-3
Primary,5,-2
Primary,5,-1
Primary,5,0
Primary,6,-9
Primary,6,-8
Primary,6,-7
Primary,6,-6
Primary,6,-5
Primary,6,-4
Primary,6,-3
Primary,6,-2
Primary,6,-1
Primary,6,0
Primary,7,-9
Primary,7,-8
Primary,7,-7
Primary,7,-6
Primary,7,-5
Primary,7,-4
Primary,7,-3
Primary,7,-2
Primary,7,-1
Primary,7,0
Primary,8,-9
Primary,8,-8
Primary,8,-7
Primary,8,-6
Primary,8,-5
Primary,8,-4
Primary,8,-3
Primary,8,-2
Primary,8,-1
Primary,8,0
Primary,9,-9
Primary,9,-8
Primary,9,-7
Primary,9,-6
Primary,9,-5
Primary,9,-4
Primary,9,-3
Primary,9,-2
Primary,9,-1
Primary,9,0
Primary,10,-9
Primary,10,-8
Primary,10,-7
Primary,10,-6
Primary,10,-5
Primary,10,-4
Primary,10,-3
Primary,10,-2
Primary,10,-1
Primary,10,0
