Area,Year,Gender,Percent,Value
Isolated NSW Primary,2013,Male,19.8,0.198
Isolated NSW Primary,2013,Female,80.2,0.802
Inland NSW Primary,2013,Male,18.5,0.185
Inland NSW Primary,2013,Female,81.5,0.815
Coastal NSW Primary,2013,Male,24.2,0.242
Coastal NSW Primary,2013,Female,75.8,0.758
Western Sydney Primary,2013,Male,16.5,0.165
Western Sydney Primary,2013,Female,83.5,0.835
Eastern Sydney Primary,2013,Male,16.1,0.161
Eastern Sydney Primary,2013,Female,83.9,0.839
Isolated NSW Primary,2014,Male,19.3,0.193
Isolated NSW Primary,2014,Female,80.7,0.807
Inland NSW Primary,2014,Male,18.1,0.181
Inland NSW Primary,2014,Female,81.9,0.819
Coastal NSW Primary,2014,Male,24.3,0.243
Coastal NSW Primary,2014,Female,75.7,0.757
Western Sydney Primary,2014,Male,15.9,0.159
Western Sydney Primary,2014,Female,84.1,0.841
Eastern Sydney Primary,2014,Male,16,0.16
Eastern Sydney Primary,2014,Female,84,0.84
Isolated NSW Primary,2015,Male,18.9,0.189
Isolated NSW Primary,2015,Female,81.1,0.811
Inland NSW Primary,2015,Male,17.8,0.178
Inland NSW Primary,2015,Female,82.2,0.822
Coastal NSW Primary,2015,Male,23.6,0.236
Coastal NSW Primary,2015,Female,76.4,0.764
Western Sydney Primary,2015,Male,15.5,0.155
Western Sydney Primary,2015,Female,84.5,0.845
Eastern Sydney Primary,2015,Male,15.9,0.159
Eastern Sydney Primary,2015,Female,84.1,0.841
Isolated NSW Primary,2016,Male,17.8,0.178
Isolated NSW Primary,2016,Female,82.2,0.822
Inland NSW Primary,2016,Male,17.2,0.172
Inland NSW Primary,2016,Female,82.8,0.828
Coastal NSW Primary,2016,Male,23.1,0.231
Coastal NSW Primary,2016,Female,76.9,0.769
Western Sydney Primary,2016,Male,15.6,0.156
Western Sydney Primary,2016,Female,84.4,0.844
Eastern Sydney Primary,2016,Male,15.8,0.158
Eastern Sydney Primary,2016,Female,84.2,0.842
Isolated NSW Primary,2017,Male,18.6,0.186
Isolated NSW Primary,2017,Female,81.4,0.814
Inland NSW Primary,2017,Male,17.4,0.174
Inland NSW Primary,2017,Female,82.6,0.826
Coastal NSW Primary,2017,Male,22.2,0.222
Coastal NSW Primary,2017,Female,77.8,0.778
Western Sydney Primary,2017,Male,15.3,0.153
Western Sydney Primary,2017,Female,84.7,0.847
Eastern Sydney Primary,2017,Male,15.8,0.158
Eastern Sydney Primary,2017,Female,84.2,0.842
Isolated NSW Primary,2018,Male,19.6,0.196
Isolated NSW Primary,2018,Female,80.4,0.804
Inland NSW Primary,2018,Male,17.2,0.172
Inland NSW Primary,2018,Female,82.8,0.828
Coastal NSW Primary,2018,Male,21.7,0.217
Coastal NSW Primary,2018,Female,78.3,0.783
Western Sydney Primary,2018,Male,14.6,0.146
Western Sydney Primary,2018,Female,85.4,0.854
Eastern Sydney Primary,2018,Male,15.7,0.157
Eastern Sydney Primary,2018,Female,84.3,0.843
Isolated NSW Primary,2019,Male,19.1,0.191
Isolated NSW Primary,2019,Female,80.9,0.809
Inland NSW Primary,2019,Male,18.3,0.183
Inland NSW Primary,2019,Female,81.7,0.817
Coastal NSW Primary,2019,Male,22.2,0.222
Coastal NSW Primary,2019,Female,77.8,0.778
Western Sydney Primary,2019,Male,15,0.15
Western Sydney Primary,2019,Female,85,0.85
Eastern Sydney Primary,2019,Male,16.4,0.164
Eastern Sydney Primary,2019,Female,83.6,0.836
Isolated NSW Primary,2020,Male,20.2,0.202
Isolated NSW Primary,2020,Female,79.8,0.798
Inland NSW Primary,2020,Male,17.8,0.178
Inland NSW Primary,2020,Female,82.2,0.822
Coastal NSW Primary,2020,Male,22.1,0.221
Coastal NSW Primary,2020,Female,77.9,0.779
Western Sydney Primary,2020,Male,15.5,0.155
Western Sydney Primary,2020,Female,84.5,0.845
Eastern Sydney Primary,2020,Male,16.8,0.168
Eastern Sydney Primary,2020,Female,83.2,0.832
Isolated NSW Primary,2021,Male,18.5,0.185
Isolated NSW Primary,2021,Female,81.5,0.815
Inland NSW Primary,2021,Male,18.4,0.184
Inland NSW Primary,2021,Female,81.6,0.816
Coastal NSW Primary,2021,Male,22.5,0.225
Coastal NSW Primary,2021,Female,77.5,0.775
Western Sydney Primary,2021,Male,15.5,0.155
Western Sydney Primary,2021,Female,84.5,0.845
Eastern Sydney Primary,2021,Male,16.6,0.166
Eastern Sydney Primary,2021,Female,83.4,0.834
