Suburb,Year,Average
Abbotsford,2011,94.3
Aberdeen,2011,93.5
Abermain,2011,94.8
Adamstown,2011,96.4
Albion Park,2011,92.43333333
Albury,2011,93.8
Allambie Heights,2011,92
Alstonville,2011,95.4
Ambarvale,2011,93.05
Annandale,2011,94.7
Annangrove,2011,91
Appin,2011,94.3
Arcadia,2011,95.6
Ariah Park,2011,91.9
Armidale,2011,93.74285714
Arncliffe,2011,95.8
Ashbury,2011,95.4
Ashcroft,2011,94.2
Ashfield,2011,94.9
Ashmont,2011,93.9
Ashtonfield,2011,91.7
Auburn,2011,92.05
Austinmer,2011,91.7
Austral,2011,95.1
Avalon Beach,2011,95
Avoca Beach,2011,95
Awaba,2011,96.5
Balgowlah,2011,92.23333333
Balgownie,2011,94.9
Ballina,2011,94.05
Balmain,2011,94.06666667
Balmain East,2011,92.6
Balranald,2011,96.6
Bangalow,2011,95.2
Bangor,2011,91.65
Bankstown,2011,93.96666667
Banora Point,2011,90.4
Baradine,2011,96.2
Barden Ridge,2011,95.6
Bardia,2011,94.5
Bargo,2011,91.7
Barham,2011,92.3
Barnsley,2011,79.5
Barooga,2011,93.7
Barraba,2011,94
Barrack Heights,2011,93.1
Bass Hill,2011,94
Bateau Bay,2011,93.55
Bathurst,2011,94.85
Batlow,2011,95.7
Baulkham Hills,2011,94.93333333
Beacon Hill,2011,96.6
Beaumont Hills,2011,95.1
Beecroft,2011,92.25
Beelbangera,2011,95.4
Bega,2011,92.9
Bellambi,2011,93.4
Bellbird,2011,94.6
Bellevue Hill,2011,93.5
Bellingen,2011,95.1
Belmont,2011,94
Belmont North,2011,93.9
Belmore,2011,93.45
Belrose,2011,94.65
Bemboka,2011,89.7
Berala,2011,96.2
Beresfield,2011,94.7
Berkeley,2011,92.5
Berkeley Vale,2011,94.4
Bermagui,2011,90.2
Berowra,2011,91.7
Berowra Heights,2011,93.95
Berrima,2011,95.4
Berry,2011,94.8
Beverly Hills,2011,92.5
Bexhill,2011,91.8
Bexley,2011,93.625
Bidwill,2011,94.6
Bilpin,2011,90.3
Bingara,2011,71.4
Birrong,2011,92.7
Black Hill,2011,93
Blackalls Park,2011,94.9
Blackheath,2011,93.7
Blacksmiths,2011,95.1
Blacktown,2011,91.17142857
Blairmount,2011,89.3
Blakebrook,2011,96.4
Blakehurst,2011,92.7
Blaxland,2011,96.3
Blaxland East,2011,94.6
Blayney,2011,93.9
Bligh Park,2011,95.75
Boambee,2011,93.5
Bodalla,2011,93.9
Bogangar,2011,92.9
Bolwarra,2011,93.4
Bomaderry,2011,93.1
Bombala,2011,96.2
Bonalbo,2011,93.3
Bondi Beach,2011,92.4
Bonnet Bay,2011,92.6
Bonnyrigg,2011,93.9
Bonnyrigg Heights,2011,92.7
Boolaroo,2011,95.6
Boomerang Beach,2011,90.3
Booragul,2011,92.8
Booral,2011,94.2
Boorowa,2011,95.1
Boree Creek,2011,92.7
Bossley Park,2011,93.16666667
Botany,2011,93.75
Bourke,2011,94.4
Bowral,2011,93.3
Bowraville,2011,95.2
Bradbury,2011,93.4
Braidwood,2011,91.3
Branxton,2011,94.4
Brewarrina,2011,93.6
Brighton-Le-Sands,2011,94.6
Broadmeadow,2011,94.9
Broke,2011,94
Broken Hill,2011,93.2
Brooklyn,2011,91.7
Brookvale,2011,92.6
Broulee,2011,95.15
Brunswick Heads,2011,94
Budgewoi,2011,94.9
Bulli,2011,96.5
Bundanoon,2011,94.7
Bundarra,2011,94.7
Bundeena,2011,91.3
Bungendore,2011,90.9
Burren Junction,2011,94.8
Burringbar,2011,95.6
Burwood,2011,92.35
Busby,2011,94.1
Buxton,2011,90.6
Byron Bay,2011,92.7
Cabramatta,2011,93.4
Callala Bay,2011,92
Cambewarra,2011,94.3
Cambridge Park,2011,88.4
Camden,2011,93
Cammeray,2011,94.4
Campbelltown,2011,94.72857143
Campsie,2011,95.35
Candelo,2011,96.5
Canley Heights,2011,96.1
Canley Vale,2011,95.5
Canowindra,2011,89.2
Canterbury,2011,94.9
Captains Flat,2011,96.5
Cardiff,2011,93.85
Cardiff South,2011,96.7
Caringbah,2011,95.3
Carlingford,2011,92
Carlton,2011,93.3
Carnes Hill,2011,92.8
Carramar,2011,86.1
Carrington,2011,93.2
Cartwright,2011,94.2
Casino,2011,96.65
Castle Hill,2011,93.25
Castlereagh,2011,94.3
Casula,2011,95.4
Cattai,2011,93.1
Caves Beach,2011,86.8
Cecil Hills,2011,94.4
Central Mangrove,2011,95.5
Central Tilba,2011,93.2
Cessnock,2011,92.6
Charlestown,2011,94.7
Chatswood,2011,94.25
Chatsworth,2011,94
Cherrybrook,2011,86.9
Chester Hill,2011,94.2
Chippendale,2011,93.1
Chipping Norton,2011,94.1
Chisholm,2011,92.8
Chittaway Bay,2011,96.5
Claremont Meadows,2011,90.1
Clarence Town,2011,95
Clarenza,2011,91.6
Claymore,2011,92.5
Clergate,2011,93
Clovelly,2011,93.8
Clunes,2011,94.9
Coal Point,2011,88.5
Cobar,2011,91.5
Cobargo,2011,96.8
Cobbitty,2011,93.7
Coffee Camp,2011,94.3
Coffs Harbour,2011,95.36666667
Coleambally,2011,94.5
Coledale,2011,94.9
Collarenebri,2011,95.1
Collaroy,2011,92.2
Collaroy Plateau,2011,95.4
Colo Vale,2011,93.8
Como,2011,94
Concord,2011,92.8
Condobolin,2011,94.9
Condong,2011,94.7
Coniston,2011,95.7
Coogee,2011,95
Coolah,2011,96.5
Coolamon,2011,95.4
Cooma,2011,96.6
Cooma North,2011,91.7
