School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Abbotsford Public School,Abbotsford,Government,567,286,281
Abbotsleigh,Jindera,Independent,182,101,81
Aberdeen Public School,Rockdale,Independent,24,10,14
Abermain Public School,Aberdeen,Government,194,88,106
Adaminaby Public School,Wagga Wagga,Independent,136,64,72
Adamstown Public School,Abermain,Government,279,141,138
Adelong Public School,Terrey Hills,Independent,90,45,45
Aetaomah School,Adaminaby,Government,19,7,12
Afterlee Public School,Wahroonga,Independent,3030,77,2953
Al Amanah College,Adamstown,Government,290,140,150
Al Hikma College,Bondi Junction,Independent,1449,706,743
Al Noori Muslim School,Adelong,Government,65,37,28
Al Sadiq College,Abermain,Catholic,148,75,73
Al Zahra College,Afterlee,Government,10,6,4
Albert Park Public School,Como,Catholic,443,222,221
Albion Park Public School,Wilcannia,Catholic,27,13,14
Albion Park Rail Public School,Lindfield,Independent,87,45,42
Albury North Public School,East Lismore,Government,97,36,61
Albury Public School,Bonville,Independent,886,458,428
Albury West Public School,Albion Park,Government,487,229,258
Aldavilla Public School,Cherrybrook,Independent,616,560,56
Alexandria Park Community School,Albion Park,Government,364,167,197
Al-Faisal College,Port Macquarie,Independent,370,179,191
Al-Faisal College - Campbelltown,Albury,Government,247,116,131
Al-Faisal College - Liverpool,Albury,Government,630,308,322
Alfords Point Public School,Albury,Government,141,76,65
All Hallows Catholic Primary School,Yarravel,Government,305,154,151
All Hallows Catholic Primary School,Alexandria,Government,882,375,507
All Saints Catholic College,Alfords Point,Government,219,105,114
All Saints Primary School,Bowraville,Independent,57,25,32
Allambie Heights Public School,Five Dock,Catholic,457,261,196
Alma Public School,Newtown,Government,99,45,54
Alstonville Public School,Russell Lea,Government,258,143,115
Ambarvale Public School,Allambie Heights,Government,555,247,308
"Amity College, Prestons",Petersham,Government,61,22,39
Anna Bay Public School,Broken Hill,Government,265,121,144
Annandale North Public School,Alstonville,Government,407,192,215
Annandale Public School,Ashfield,Government,53,24,29
Annangrove Public School,Ambarvale,Government,328,162,166
Anzac Park Public School,Anna Bay,Government,346,158,188
Appin Public School,Sefton,Government,103,55,48
Arcadia Public School,Annandale,Government,402,206,196
Arcadia Vale Public School,Greenacre,Government,185,75,110
Arden Anglican School,Annandale,Government,402,180,222
Ardlethan Central School,Bankstown,Government,117,58,59
Argenton Public School,Annangrove,Government,108,46,62
Ariah Park Central School,Arncliffe,Government,148,77,71
Arkana College,Bardwell Park,Government,30,7,23
Armidale City Public School,Appin,Government,323,145,178
Arncliffe Public School,Penshurst,Government,79,38,41
Arncliffe West Infants School,Arcadia,Government,89,45,44
Arndell Anglican College,Arcadia Vale,Government,103,48,55
Artarmon Public School,New Lambton Heights,Government,77,36,41
Ascham School,Ardlethan,Government,51,24,27
Ashbury Public School,Lorn,Government,53,25,28
Ashcroft Public School,Argenton,Government,29,12,17
Ashfield Public School,Stanford Merthyr,Government,81,37,44
Ashford Central School,Ariah Park,Government,135,74,61
Ashmont Public School,Glen Innes,Government,35,15,20
Ashtonfield Public School,Cabramurra,Government,2,1,1
Asquith Public School,Armidale,Government,418,203,215
Athelstane Public School,Narrandera,Government,67,27,40
Attunga Public School,Arncliffe,Government,410,179,231
Auburn North Public School,Jugiong,Government,19,10,9
Auburn Public School,Sofala,Government,9,3,6
Auburn West Public School,Goolma,Government,6,1,5
Aurora Southern Highlands Steiner School,Artarmon,Government,1248,583,665
Austinmer Public School,Ashbury,Government,370,177,193
Austral Public School,Ashcroft,Government,256,127,129
Australia Street Infants School,Ashfield,Government,481,230,251
Australian Christian College - Marsden Park,Ashford,Government,148,75,73
Australian Christian College - Singleton,Wagga Wagga,Government,245,123,122
"Australian International Academy, Kellyville Campus",Ashtonfield,Government,600,302,298
"Australian International Academy, Sydney, Strathfield Campus",Asquith,Government,452,219,233
Australian Islamic College of Sydney,Arncliffe,Government,346,164,182
Avalon Public School,Attunga,Government,33,16,17
Avoca Beach Public School,Auburn,Government,679,337,342
Avoca Public School,Auburn,Government,517,245,272
Avondale School,Auburn,Government,604,314,290
Awaba Public School,Austinmer,Government,309,149,160
Balarang Public School,Rockdale,Government,71,37,34
Bald Blair Public School,Austral,Government,286,162,124
Bald Face Public School,Avalon Beach,Government,914,461,453
Balgowlah Heights Public School,Avoca Beach,Government,465,208,257
Balgowlah North Public School,Avoca,Government,11,7,4
Balgownie Public School,Avalon,Independent,59,26,33
Ballimore Public School,Awaba,Government,37,14,23
Ballina Public School,Oak Flats,Government,266,135,131
Balmain Public School,Guyra,Government,36,18,18
Balranald Central School,Blakehurst,Government,278,147,131
Bangalow Public School,Balgowlah,Government,711,363,348
Bangor Public School,North Balgowlah,Government,568,265,303
Banks Public School,Warnervale,Independent,917,456,461
Banksia Road Public School,Balgownie,Government,333,162,171
Banksmeadow Public School,Ballimore,Government,14,9,5
Bankstown North Public School,Ballina,Government,280,135,145
Bankstown Public School,Balmain,Government,379,189,190
Bankstown South Infants School,Balranald,Government,148,70,78
Bankstown West Public School,Bangalow,Government,282,128,154
Banora Point Public School,Bangor,Government,549,258,291
Baradine Central School,St Clair,Government,380,188,192
Bardia Public School,Greenacre,Government,564,275,289
Bardwell Park Infants School,Botany,Government,312,140,172
Barellan Central School,Bankstown,Government,328,151,177
Bargo Public School,Bankstown,Government,811,400,411
Barham Public School,Bankstown,Government,345,154,191
Barkers Vale Public School,Banora Point,Government,606,275,331
Barmedman Public School,Baradine,Government,120,64,56
Barnier Public School,Bardia,Government,510,238,272
Barnsley Public School,Barellan,Government,100,42,58
Barooga Public School,Bargo,Government,287,140,147
Barraba Central School,Barham,Government,122,62,60
Barrack Heights Public School,Wadeville,Government,42,17,25
Barrenjoey Montessori School,Barmedman,Government,9,3,6
Barrington Public School,Quakers Hill,Government,884,410,474
Baryulgil Public School,Barnsley,Government,319,163,156
