ACARA ID,Primary School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),Year,Acceptance Rate
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2011,94.3
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2012,95.9
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2013,95.7
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2014,95.3
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2015,94.6
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2016,95.2
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2017,94.1
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2018,94.9
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2019,94.3
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2021,94.3
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45,2022,89
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2011,93.5
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2012,93
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2013,92
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2014,92.8
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2015,91.4
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2016,91.5
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2017,92.8
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2018,91
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2019,90.3
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2021,89.2
41852,Abermain Public School,Aberdeen,2336,Primary,Inner Regional,-32.1661,150.888,71,Government,School Single Entity,Department of Education NSW,K-6,907,67,26,6,0,12,12.7,4,2.4,194,88,106,194,14,6,2022,85.2
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2011,94.8
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2012,95.4
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2013,94.7
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2014,95.8
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2015,95.1
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2016,93.2
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2017,93
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2018,92.6
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2019,92.7
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2021,93.3
41853,Adamstown Public School,Abermain,2326,Primary,Major Cities,-32.8089,151.426,70,Government,School Single Entity,Department of Education NSW,K-6,899,67,26,6,2,13,15.5,6,2.7,279,141,138,279,22,2,2022,87.5
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2011,92.6
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2012,91.8
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2013,93.6
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2014,93.4
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2015,93.2
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2016,91.9
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2017,92.7
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2018,89.5
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2019,90.6
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2021,87.5
42339,Albury North Public School,East Lismore,2480,Primary,Inner Regional,-28.8216,153.272,69,Government,School Single Entity,Department of Education NSW,"U, K-6",898,56,20,18,7,6,8.2,5,3.4,97,36,61,97,32,5,2022,83.9
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2011,92
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2012,92.8
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2013,91.2
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2014,93.6
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2015,91.9
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2016,93.2
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2017,92.1
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2018,92.7
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2019,92.7
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2021,89.5
42716,Albury West Public School,Albion Park,2527,Primary,Major Cities,-34.5703,150.773,79,Government,School Single Entity,Department of Education NSW,"U, K-6",975,43,34,17,6,27,30.1,10,7.6,487,229,258,487,6,6,2022,81.9
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2011,92.3
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2012,91.6
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2013,92
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2014,92.5
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2015,92.9
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2016,92.7
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2017,93.4
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2018,92.9
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2019,92.3
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2021,89.5
40408,Aldavilla Public School,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32,2022,88.4
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2011,91.9
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2012,90.2
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2013,93.1
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2014,90.9
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2015,91
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2016,91.5
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2017,91.4
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2018,90.2
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2019,89
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2021,89.8
42861,Alexandria Park Community School,Albion Park,2527,Primary,Major Cities,-34.5676,150.799,70,Government,School Single Entity,Department of Education NSW,"U, K-6",898,63,27,9,1,22,27,10,7.8,364,167,197,364,22,8,2022,84.8
42532,Alfords Point Public School,Albury,2640,Primary,Inner Regional,-36.0778,146.896,69,Government,School Single Entity,Department of Education NSW,K-6,867,67,18,9,6,11,13.2,4,1.9,141,76,65,141,28,6,2011,94.9
42532,Alfords Point Public School,Albury,2640,Primary,Inner Regional,-36.0778,146.896,69,Government,School Single Entity,Department of Education NSW,K-6,867,67,18,9,6,11,13.2,4,1.9,141,76,65,141,28,6,2012,95
42532,Alfords Point Public School,Albury,2640,Primary,Inner Regional,-36.0778,146.896,69,Government,School Single Entity,Department of Education NSW,K-6,867,67,18,9,6,11,13.2,4,1.9,141,76,65,141,28,6,2013,94.6
42532,Alfords Point Public School,Albury,2640,Primary,Inner Regional,-36.0778,146.896,69,Government,School Single Entity,Department of Education NSW,K-6,867,67,18,9,6,11,13.2,4,1.9,141,76,65,141,28,6,2014,95.7
42532,Alfords Point Public School,Albury,2640,Primary,Inner Regional,-36.0778,146.896,69,Government,School Single Entity,Department of Education NSW,K-6,867,67,18,9,6,11,13.2,4,1.9,141,76,65,141,28,6,2015,96.1
