ACARA_ID,School_Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE_Score,School_Sector,Campus_Type,Governing_Body,Year_Range,ICSEA,Bottom_SEA_Quarter_(%),Lower_Middle_SEA_Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Full_Time_Equivalent_Enrolments,Indigenous_Enrolments_(%),Language_Background_Other_Than_English
40987,Abbotsford Public School,Abbotsford,2046,Primary,Major Cities,-33.8527,151.131,93,Government,School Single Entity,Department of Education NSW,K-6,1108,6,15,30,49,29,31,7,4.3,567,286,281,567,1,45
40366,Kinma School,Terrey Hills,2084,Primary,Major Cities,-33.6866,151.217,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-6,1135,1,8,28,62,10,8.3,5,2.9,90,45,45,90,0,2
40367,Knox Grammar School,Wahroonga,2076,Combined,Major Cities,-33.7231,151.119,100,Independent,School Head Campus,Association of Independent Schools of New South Wales,K-12,1170,1,4,17,78,303,285.3,366,219.6,3030,77,2953,3030,0,30
40369,Moriah College,Bondi Junction,2022,Combined,Major Cities,-33.8994,151.245,97,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,8,26,63,174,161.9,101,66.4,1449,706,743,1449,0,7
40381,Highfields Preparatory and Kindergarten School,Lindfield,2070,Primary,Major Cities,-33.775,151.164,,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-2,1166,1,3,17,80,13,10.4,5,4.1,87,45,42,87,0,51
40408,Tangara School for Girls,Cherrybrook,2126,Combined,Major Cities,-33.7364,151.036,99,Independent,School Single Entity,Association of Independent Schools of New South Wales,K-12,1135,3,12,25,60,69,53.8,21,11.4,616,560,56,616,0,32
41184,Alexandria Park Community School,Alexandria,2015,Combined,Major Cities,-33.9002,151.196,90,Government,School Single Entity,Department of Education NSW,K-12,1028,20,18,29,33,56,66.2,13,12.3,882,375,507,881.4,19,59
43404,All Hallows Catholic Primary School,Five Dock,2046,Primary,Major Cities,-33.8609,151.134,93,Catholic,School Single Entity,Catholic Schools NSW,K-6,1106,4,17,33,46,32,24.7,11,3.6,457,261,196,457,0,42
40492,Australia Street Infants School,Newtown,2042,Primary,Major Cities,-33.8958,151.178,,Government,School Single Entity,Department of Education NSW,P-2,1124,2,7,30,61,7,9.5,5,3.8,99,45,54,99,1,19
40493,Russell Lea Public School,Russell Lea,2046,Primary,Major Cities,-33.8614,151.143,,Government,School Single Entity,Department of Education NSW,K-6,1140,2,8,29,61,13,14.4,1,2.5,258,143,115,258,0,31
41281,Allambie Heights Public School,Allambie Heights,2100,Primary,Major Cities,-33.7658,151.252,95,Government,School Single Entity,Department of Education NSW,K-6,1121,2,13,31,54,23,28.8,5,4.1,555,247,308,555,1,16
40494,Taverners Hill Infants School,Petersham,2049,Primary,Major Cities,-33.889,151.157,,Government,School Single Entity,Department of Education NSW,K-2,1115,2,11,32,55,4,4,2,1.5,61,22,39,61,3,25
