School_Name,Suburb,Postcode,Type,Latitude,Longitude,School_Sector,Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Indigenous_Enrolments,Language_Background_Other_Than_English
Abbotsford Public School,Abbotsford,2046,Primary,-33.8527,151.131,Government,29,567,286,281,1,45
Kinma School,Terrey Hills,2084,Primary,-33.6866,151.217,Independent,10,90,45,45,0,2
Knox Grammar School,Wahroonga,2076,Combined,-33.7231,151.119,Independent,303,3030,77,2953,0,30
Moriah College,Bondi Junction,2022,Combined,-33.8994,151.245,Independent,174,1449,706,743,0,7
Highfields Preparatory and Kindergarten School,Lindfield,2070,Primary,-33.775,151.164,Independent,13,87,45,42,0,51
Tangara School for Girls,Cherrybrook,2126,Combined,-33.7364,151.036,Independent,69,616,560,56,0,32
Alexandria Park Community School,Alexandria,2015,Combined,-33.9002,151.196,Government,56,882,375,507,19,59
All Hallows Catholic Primary School,Five Dock,2046,Primary,-33.8609,151.134,Catholic,32,457,261,196,0,42
Australia Street Infants School,Newtown,2042,Primary,-33.8958,151.178,Government,7,99,45,54,1,19
Russell Lea Public School,Russell Lea,2046,Primary,-33.8614,151.143,Government,13,258,143,115,0,31
Allambie Heights Public School,Allambie Heights,2100,Primary,-33.7658,151.252,Government,23,555,247,308,1,16
Taverners Hill Infants School,Petersham,2049,Primary,-33.889,151.157,Government,4,61,22,39,3,25
Annandale North Public School,Annandale,2038,Primary,-33.8779,151.172,Government,17,402,206,196,3,22
Annandale Public School,Annandale,2038,Primary,-33.8858,151.17,Government,25,402,180,222,2,32
Artarmon Public School,Artarmon,2064,Primary,-33.8112,151.186,Government,58,1248,583,665,0,83
Asquith Public School,Asquith,2077,Primary,-33.6857,151.112,Government,21,452,219,233,2,48
Avalon Public School,Avalon Beach,2107,Primary,-33.6396,151.327,Government,37,914,461,453,0,11
Barrenjoey Montessori School,Avalon,2107,Primary,-33.6312,151.334,Independent,6,59,26,33,0,24
Balgowlah Heights Public School,Balgowlah,2093,Primary,-33.8057,151.258,Government,32,711,363,348,0,17
Balgowlah North Public School,North Balgowlah,2093,Primary,-33.7833,151.246,Government,25,568,265,303,1,11
Balmain Public School,Balmain,2041,Primary,-33.8592,151.183,Government,18,379,189,190,1,34
Banksmeadow Public School,Botany,2019,Primary,-33.9537,151.207,Government,18,312,140,172,5,31
Beacon Hill Public School,Beacon Hill,2100,Primary,-33.7516,151.261,Government,25,533,255,278,1,22
Beaumont Road Public School,Killara,2071,Primary,-33.7743,151.146,Government,17,408,199,209,0,47
Beauty Point Public School,Mosman,2088,Primary,-33.812,151.242,Government,15,304,156,148,0,31
Lindfield Montessori Preschool,West Lindfield,2070,Combined,-33.7778,151.148,Independent,3,3,1,2,0,
Beecroft Public School,Beecroft,2119,Primary,-33.7521,151.065,Government,43,890,469,421,0,64
Cameragal Montessori School,North Sydney,2060,Primary,-33.8334,151.216,Independent,5,19,8,11,0,33
Karuna Montessori School,Narraweena,2099,Combined,-33.7478,151.276,Independent,3,8,3,5,0,
Farmhouse Montessori School,North Balgowlah,2093,Combined,-33.7834,151.246,Independent,7,44,18,26,0,34
Reddam House,Woollahra,2025,Combined,-33.8893,151.253,Independent,142,1223,555,668,0,88
Bellevue Hill Public School,Bellevue Hill,2023,Primary,-33.887,151.26,Government,32,566,284,282,1,53
Belrose Public School,Belrose,2085,Primary,-33.7272,151.217,Government,13,267,133,134,0,17
Birchgrove Public School,Balmain,2041,Primary,-33.853,151.177,Government,21,371,191,180,0,24
Bondi Beach Public School,Bondi Beach,2026,Primary,-33.8883,151.277,Government,29,618,276,342,1,28
Botany Public School,Botany,2019,Primary,-33.9432,151.195,Government,13,289,137,152,3,45
Bronte Public School,Bronte,2024,Primary,-33.9006,151.262,Government,20,388,182,206,0,19
Camdenville Public School,Newtown,2042,Primary,-33.9061,151.176,Government,18,344,166,178,3,23
Clovelly Public School,Waverley,2024,Primary,-33.9074,151.26,Government,30,599,313,286,1,20
Berowra Public School,Berowra,2081,Primary,-33.6185,151.149,Government,19,419,186,233,0,14
Coogee Public School,Coogee,2034,Primary,-33.9205,151.25,Government,30,615,308,307,1,33
Darlington Public School,Chippendale,2008,Primary,-33.8926,151.189,Government,17,206,98,108,24,33
Double Bay Public School,Double Bay,2028,Primary,-33.8749,151.241,Government,16,341,189,152,0,31
Drummoyne Public School,Drummoyne,2047,Primary,-33.8561,151.153,Government,34,620,326,294,0,42
Five Dock Public School,Five Dock,2046,Primary,-33.8663,151.127,Government,26,392,196,196,3,44
Forest Lodge Public School,Forest Lodge,2037,Primary,-33.8822,151.182,Government,17,340,160,180,1,40
Fort Street Public School,Sydney,2000,Primary,-33.8604,151.205,Government,11,215,97,118,0,77
Glenmore Road Public School,Paddington,2021,Primary,-33.8814,151.23,Government,16,364,192,172,1,21
Haberfield Public School,Haberfield,2045,Primary,-33.8795,151.134,Government,34,670,338,332,0,63
Kegworth Public School,Leichhardt,2040,Primary,-33.8865,151.147,Government,18,343,166,177,5,30
Bilgola Plateau Public School,Bilgola Plateau,2107,Primary,-33.644,151.313,Government,26,532,274,258,1,13
Kensington Public School,Kensington,2033,Primary,-33.9099,151.225,Government,23,453,225,228,1,72
La Perouse Public School,La Perouse,2036,Primary,-33.9795,151.235,Government,6,54,22,32,65,72
Malabar Public School,Malabar,2036,Primary,-33.9622,151.249,Government,13,298,152,146,5,26
Maroubra Bay Public School,Maroubra,2035,Primary,-33.9442,151.253,Government,19,371,171,200,6,41
Mascot Public School,Mascot,2020,Primary,-33.9286,151.192,Government,22,367,170,197,4,73
Matraville Public School,Matraville,2036,Primary,-33.9551,151.229,Government,13,229,100,129,2,80
Newtown North Public School,Newtown,2042,Primary,-33.8918,151.185,Government,11,258,126,132,1,29
Nicholson Street Public School,Balmain East,2041,Primary,-33.8561,151.193,Government,7,168,79,89,0,17
Orange Grove Public School,Leichhardt,2040,Primary,-33.8724,151.158,Government,24,496,243,253,4,22
Rainbow Street Public School,Randwick,2031,Primary,-33.9246,151.237,Government,25,390,180,210,2,56
Rose Bay Public School,Rose Bay,2029,Primary,-33.873,151.271,Government,33,587,300,287,0,58
St Peters Public School,St Peters,2044,Primary,-33.913,151.177,Government,8,124,57,67,8,33
Ultimo Public School,Ultimo,2007,Primary,-33.8768,151.197,Government,16,314,164,150,5,69
Vaucluse Public School,Vaucluse,2030,Primary,-33.8505,151.281,Government,20,363,172,191,0,37
South Coogee Public School,South Coogee,2034,Primary,-33.9333,151.254,Government,25,548,290,258,4,35
Dobroyd Point Public School,Haberfield,2045,Primary,-33.8744,151.141,Government,14,227,110,117,1,32
Pagewood Public School,Botany,2019,Primary,-33.9422,151.214,Government,14,313,154,159,1,49
Crown Street Public School,Surry Hills,2010,Primary,-33.8823,151.215,Government,17,292,146,146,2,54
Tempe Public School,Tempe,2044,Primary,-33.9209,151.161,Government,24,322,166,156,5,38
Bondi Public School,Bondi,2026,Primary,-33.8926,151.265,Government,26,596,294,302,0,26
Waverley Public School,Waverley,2024,Primary,-33.8982,151.252,Government,15,330,158,172,1,35
Matraville Soldiers Settlement Public School,Matraville,2036,Primary,-33.958,151.24,Government,11,242,128,114,24,38
Erskineville Public School,Erskineville,2043,Primary,-33.9009,151.186,Government,17,401,200,201,1,49
Boronia Park Public School,Hunters Hill,2110,Primary,-33.8214,151.136,Government,26,541,275,266,1,28
Randwick Public School,Randwick,2031,Primary,-33.9106,151.242,Government,46,958,484,474,1,41
Bourke Street Public School,Surry Hills,2010,Primary,-33.8905,151.216,Government,20,436,209,227,3,33
Chifley Public School,Malabar,2036,Primary,-33.966,151.242,Government,11,166,86,80,40,19
Lewisham Public School,Lewisham,2049,Primary,-33.8977,151.146,Government,11,217,125,92,1,39
Petersham Public School,Petersham,2049,Primary,-33.8956,151.15,Government,14,267,117,150,1,30
Eastlakes Public School,Eastlakes,2018,Primary,-33.9281,151.214,Government,15,197,96,101,3,93
Plunkett Street Public School,Woolloomooloo,2011,Primary,-33.8709,151.22,Government,2,60,28,32,32,53
Sydney Distance Education Primary School,Surry Hills,2010,Primary,-33.8863,151.213,Government,12,177,80,97,2,27
Brooklyn Public School,Brooklyn,2083,Primary,-33.5484,151.215,Government,4,75,35,40,0,28
Brookvale Public School,Brookvale,2100,Primary,-33.7617,151.271,Government,16,341,176,165,1,47
Daceyville Public School,Daceyville,2032,Primary,-33.9295,151.228,Government,18,269,140,129,8,62
Darlinghurst Public School,Potts Point,2011,Primary,-33.8786,151.223,Government,16,322,167,155,1,38
Gardeners Road Public School,Rosebery,2018,Primary,-33.9206,151.198,Government,21,358,184,174,4,75
Glebe Public School,Glebe,2037,Primary,-33.8837,151.191,Government,16,309,150,159,17,44
Leichhardt Public School,Leichhardt,2040,Primary,-33.8843,151.158,Government,36,736,371,365,3,30
Maroubra Junction Public School,Maroubra,2035,Primary,-33.9361,151.237,Government,34,619,295,324,0,58
Newtown Public School,Newtown,2042,Primary,-33.9,151.179,Government,17,417,205,212,2,23
Paddington Public School,Paddington,2021,Primary,-33.8876,151.23,Government,14,291,146,145,1,39
Rozelle Public School,Rozelle,2039,Primary,-33.8626,151.17,Government,31,632,307,325,1,19
Stanmore Public School,Stanmore,2048,Primary,-33.8955,151.165,Government,33,636,313,323,1,28
Woollahra Public School,Woollahra,2025,Primary,-33.8864,151.241,Government,36,767,363,404,0,44
Cammeray Public School,Cammeray,2062,Primary,-33.8204,151.212,Government,44,888,454,434,1,27
Carlingford Public School,Carlingford,2118,Primary,-33.7801,151.055,Government,40,784,383,401,1,87
Carlingford West Public School,Carlingford,2118,Primary,-33.7821,151.038,Government,71,1528,730,798,0,95
Seaforth Public School,Seaforth,2092,Primary,-33.7933,151.251,Government,26,520,248,272,1,18
Cowan Public School,Cowan,2081,Primary,-33.5888,151.169,Government,3,43,18,25,5,23
Dee Why Public School,Dee Why,2099,Primary,-33.749,151.285,Government,28,490,221,269,1,65
Epping Public School,Epping,2121,Primary,-33.7707,151.088,Government,27,631,319,312,0,93
Epping West Public School,Epping,2121,Primary,-33.7728,151.068,Government,67,1290,621,669,0,93
Castle Cove Public School,Castle Cove,2069,Primary,-33.7834,151.202,Government,24,442,218,224,1,35
Ermington Public School,West Ryde,2114,Primary,-33.8048,151.07,Government,21,402,181,221,1,66
Frenchs Forest Public School,Frenchs Forest,2086,Primary,-33.7515,151.225,Government,12,261,133,128,0,25
Gladesville Public School,Gladesville,2111,Primary,-33.833,151.126,Government,26,537,258,279,1,46
Greenwich Public School,Greenwich,2065,Primary,-33.8259,151.183,Government,26,487,248,239,1,29
Harbord Public School,Freshwater,2096,Primary,-33.7727,151.286,Government,49,1109,550,559,0,21
Hunters Hill Public School,Hunters Hill,2110,Primary,-33.8351,151.151,Government,18,369,175,194,1,36
Lane Cove Public School,Lane Cove,2066,Primary,-33.8165,151.169,Government,45,867,437,430,0,45
Lindfield Public School,Lindfield,2070,Primary,-33.7808,151.169,Government,40,822,400,422,0,53
